"","nazwa","pojemnoœæ","prêdkoœæ_wirowania","cena","liczba_opini","oceny_klientów","status_opinii"
"1","Whirlpool FWG71283BV PL",7,1200,1399,24,"5","mniej 50 opinii"
"2","Electrolux EW6S326SPI PerfectCare",6,1200,1549,98,"5","50-100 opinii"
"3","Bosch WAN2826EPL Serie 4 VarioPerfect",8,1400,1499,223,"5","wiêcej 100 opinii"
"4","Samsung AddWash WW80K5210UW",8,1200,2099,78,"5","50-100 opinii"
"5","Beko EWTV6636XAW",6,1200,1299,18,"4.5","mniej 50 opinii"
"6","Bosch WAE2026EPL Serie 2 VarioPerfect",7,1000,999,238,"5","wiêcej 100 opinii"
"7","Bosch WLT24460PL Serie 6 VarioPerfect",6.5,1200,1699,633,"5","wiêcej 100 opinii"
"8","Samsung AddWash Slim WW60K42109W",6,1200,1799,138,"5","wiêcej 100 opinii"
"9","Bosch WAN2406EPL Serie 4 VarioPerfect",7,1200,1349,153,"5","wiêcej 100 opinii"
"10","Samsung WF60F4EFW2W",6,1200,1349,283,"5","wiêcej 100 opinii"
"11","Beko WRE5511BWW",5,1000,899,17,"4.5","mniej 50 opinii"
"12","Electrolux EW7F348SP PerfectCare",8,1400,2099,59,"5","50-100 opinii"
"13","Samsung WW70J5446FW",7,1400,1599,296,"5","wiêcej 100 opinii"
"14","Indesit IWSC 51052 C ECO PL",5,1000,799,647,"5","wiêcej 100 opinii"
"15","Bosch WAB20264PL Serie 2 VarioPerfect",6,100,1149,305,"5","wiêcej 100 opinii"
"16","Sharp ES-HFA6103W3",6,1000,799,117,"5","wiêcej 100 opinii"
"17","Amica DAW 6103 LSW",6,1000,1099,180,"5","wiêcej 100 opinii"
"18","Whirlpool EFWSG71283BVPL",7,1200,1449,57,"5","50-100 opinii"
"19","Bosch WAB24264PL Serie 2 VarioPerfect",6,1200,1149,268,"5","wiêcej 100 opinii"
"20","Indesit BWSA 61253 W EU",6,1200,949,107,"5","wiêcej 100 opinii"
